Symptom,KNN,LR-ElasticNet,LR-LASSO,LR-Ridge,Random Forest
physSx_1,0.56,0.65,0.65,0.65,0.62
physSx_10,0.54,0.57,0.57,0.57,0.57
physSx_11,0.56,0.63,0.63,0.63,0.62
physSx_12,0.62,0.75,0.75,0.75,0.71
physSx_13,0.61,0.7,0.7,0.7,0.67
physSx_2,0.57,0.64,0.64,0.64,0.61
physSx_3,0.56,0.6,0.6,0.6,0.59
physSx_4,0.54,0.61,0.61,0.61,0.57
physSx_5,0.57,0.68,0.68,0.68,0.66
physSx_6,0.59,0.68,0.68,0.68,0.66
physSx_7,0.53,0.62,0.62,0.62,0.59
physSx_8,0.62,0.7,0.7,0.7,0.69
physSx_9,0.57,0.68,0.68,0.68,0.65
