feature,mean_abs_shap,model,outcome
disability_m,0.016159586201937016,Random Forest,physSx_5
social_conn_m,0.007395298023337256,Random Forest,physSx_5
social_new_m,0.008478234222182373,Random Forest,physSx_5
social_info_m,0.00505876491779775,Random Forest,physSx_5
swb_m,0.03279378514296762,Random Forest,physSx_5
transgres_m,0.024177154165822095,Random Forest,physSx_5
usdream_m,0.008356070236540716,Random Forest,physSx_5
parental_marriage_1.0,0.002652936915105756,Random Forest,physSx_5
parental_marriage_2.0,0.0018483273761955455,Random Forest,physSx_5
parental_marriage_3.0,0.0008358504273128051,Random Forest,physSx_5
parental_marriage_4.0,0.0008428696962475358,Random Forest,physSx_5
sibling_c,0.0010938480562308604,Random Forest,physSx_6
idea_m,0.007787976658840363,Random Forest,physSx_6
moa_achievement_m,0.015472610051744074,Random Forest,physSx_6
moa_importance_m,0.007578371155868789,Random Forest,physSx_6
stress_m,0.01934736353527413,Random Forest,physSx_6
support_m,0.01893613324144553,Random Forest,physSx_6
belong_m,0.007715695247368579,Random Forest,physSx_6
mindful_m,0.02310014879859431,Random Forest,physSx_6
efficacy_m,0.010151637633466137,Random Forest,physSx_6
npi_m,0.005012615315784579,Random Forest,physSx_6
exploit_m,0.006036412160067846,Random Forest,physSx_6
disability_m,0.0222241240256562,Random Forest,physSx_6
social_conn_m,0.007121272066656047,Random Forest,physSx_6
social_new_m,0.011389714083745731,Random Forest,physSx_6
social_info_m,0.006524750795069111,Random Forest,physSx_6
swb_m,0.03279509179240768,Random Forest,physSx_6
transgres_m,0.02774687066019462,Random Forest,physSx_6
usdream_m,0.008486697212276883,Random Forest,physSx_6
parental_marriage_1.0,0.002154988309652878,Random Forest,physSx_6
parental_marriage_2.0,0.0027826698631149525,Random Forest,physSx_6
parental_marriage_3.0,0.0002332698418432454,Random Forest,physSx_6
parental_marriage_4.0,0.0011531912093595553,Random Forest,physSx_6
sibling_c,0.0006532648132182015,Random Forest,physSx_7
idea_m,0.0037663076416440434,Random Forest,physSx_7
moa_achievement_m,0.005492462910829972,Random Forest,physSx_7
moa_importance_m,0.00689239816450018,Random Forest,physSx_7
stress_m,0.011905808236783612,Random Forest,physSx_7
support_m,0.005646844355694992,Random Forest,physSx_7
belong_m,0.0034905333331840395,Random Forest,physSx_7
mindful_m,0.004989993531578678,Random Forest,physSx_7
efficacy_m,0.005835700788176145,Random Forest,physSx_7
npi_m,0.002965466922367189,Random Forest,physSx_7
exploit_m,0.005226900745417552,Random Forest,physSx_7
disability_m,0.005116931892892911,Random Forest,physSx_7
social_conn_m,0.0042926510284611264,Random Forest,physSx_7
social_new_m,0.004105411845080504,Random Forest,physSx_7
social_info_m,0.00316031854386436,Random Forest,physSx_7
swb_m,0.012258300760229197,Random Forest,physSx_7
